"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"A005","Nelson Aerts","Nelson Aerts",19630425,75,188,,"Cachoeira Do Sul, Brazil","","R","","BRA"
"A006","Ronald Agenor","Ronald Agenor",19641113,82,180,1983,"Rabat, Morocco","None","R","","HAI"
"A007","Juan Aguilera","Juan Aguilera",19620322,68,183,,"Barcelona, Spain","","R","","ESP"
"A009","Richard Akel","Richard Akel",19620212,,,,"Little Rock, AR, USA","","L","","USA"
"A010","Rotimi Akinloye","Rotimi Akinloye",,,,,"","","R","","NGR"
"A012","Marc Albert","Marc Albert",,,,,"","","R","","NED"
"A013","Marco Alciati","Marco Alciati",,,,,"","","R","","ITA"
"A014","John Alexander","John Alexander",19510704,82,191,,"Sydney, NSW, Australia","","R","","AUS"
"A015","Leighton Alfred","Leighton Alfred",19620827,73,180,,"Wales, Great Britain","","L","","GBR"
"A016","Kimmo Alkio","Kimmo Alkio",19631025,61,178,,"Helsinki, Finland","","R","","FIN"
"A017","Trevor Allan","Trevor Allan",19550817,77,178,,"Maidland, Australia","","L","","AUS"
"A018","Christer Allgardh","Christer Allgardh",19670220,77,191,1983,"Boras, Sweden","Ulf Eriksson","R","","SWE"
"A020","Mehl Ampon","Mehl Ampon",19561130,,,,"Manila, Phillipines","","R","","USA"
"A021","Anand Amritraj","Anand Amritraj",19520320,77,185,,"Madras, India","","R","","IND"
"A022","Vijay Amritraj","Vijay Amritraj",19531214,86,193,,"Madras, India","","R","","IND"
"A023","Andy Andrews","Andy Andrews",19590101,82,185,,"Raleigh, NC, U.S.A.","","R","","USA"
"A024","Juan Carlos Andrade","Juan Carlos Andrade",19570222,,,,"","","R","","ESP"
"A025","Matt Anger","Matt Anger",19630620,77,188,1984,"Walnut Creek, CA","","R","","USA"
"A027","Paul Annacone","Paul Annacone",19630320,79,185,1984,"Southampton, NY, USA","","R","","USA"
"A028","Alex Antonitsch","Alex Antonitsch",19660208,85,188,1988,"Villach, Austria","","R","","AUT"
"A029","Corrado Aprili","Corrado Aprili",19641113,80,191,,"Verona, Italy","","R","","ITA"
"A030","Roberto Arguello","Roberto Arguello",19630512,66,173,,"Rosario, Argentina","","A","","ARG"
"A031","Jimmy Arias","Jimmy Arias",19640816,70,175,1980,"Buffalo, NY","Nick Bollettieri","R","","USA"
"A032","Marco Armellini","Marco Armellini",19600817,85,188,,"Udine, Italy","","R","","ITA"
"A034","Jordi Arrese","Jordi Arrese",19640829,64,175,1982,"Barcelona, Spain","","R","","ESP"
"A035","Pablo Arraya","Pablo Arraya",19611021,73,180,1980,"Cordoba, Argentina","","R","","PER"
"A036","Edoardo Artaldi","Edoardo Artaldi",,,,,"","","R","","ITA"
"A037","Richard Ashby","Richard Ashby",19650114,,,,"Edmond, OK, USA","","R","","USA"
"A039","Juan Avendano","Juan Avendano",19610129,73,178,,"Luanco, Spain","","R","","ESP"
"A040","Roberto Azar","Roberto Azar",19660321,77,185,1984,"Lincoln, Argentina","","L","","ARG"
"A042","Ricardo Acioly","Ricardo Acioly",19640204,82,178,1986,"Rio de Janeiro, Brazil","","R","1H","BRA"
"A043","Aniceto Alvarez","Aniceto Alvarez",,,,,"","","R","","ESP"
"A044","Victor Amaya","Victor Amaya",19540702,,201,,"Denver, CO","","L","","USA"
"A046","Greg Amaya","Greg Amaya",19600823,,,,"Detroit, MI","","R","","USA"
"A051","Juan Carlos Ayala","Juan Carlos Ayala",19610618,,,,"","","R","","CHI"
"A052","M. Arenzon","M. Arenzon",,,,,"","","R","","BRA"
"A053","John Austin","John Austin",19570731,88,193,,"Long Beach, CA","","R","","USA"
"A054","Keith Ajegbo","Keith Ajegbo",,,,,"","","R","","GBR"
"A056","Terry Addison","Terry Addison",19460111,77,180,,"Wondai, QLDS, Australia","","R","","AUS"
"A057","Elio Lito Alvarez","Elio Lito Alvarez",19471205,,,,"","","R","","ARG"
"A058","George Amaya","George Amaya",19500212,73,173,1975,"Weymouth, MA, USA","Jim Shakespeare","L","","USA"
"A059","Ashok Amritraj","Ashok Amritraj",19570222,,,,"Madras, India","","R","","IND"
"A060","Mal Anderson","Mal Anderson",19350303,,,,"Theodore, Australia","","R","","AUS"
"A061","Jorge Andrew","Jorge Andrew",19511102,88,180,,"Caracas, Venezuela","","R","1H","VEN"
"A062","John Andrews","John Andrews",19520205,,,,"Houston, TX, USA","","R","","USA"
"A063","Arthur Ashe","Arthur Ashe",19430710,73,185,1969,"Richmond, VA","Dr. Johnson","R","1H","USA"
"A064","Guillermo Aubone","Guillermo Aubone",19540608,,,,"Buenos Aires, Argentina","","L","","ARG"
"A065","Jeff Austin","Jeff Austin",19510705,,,,"Rolling Hills, CA, USA","","R","","USA"
"A066","Pieter Aldrich","Pieter Aldrich",19650907,80,180,1987,"Johannesburg, South Africa","","R","","RSA"
"A068","Tim Anderson","Tim Anderson",,,,,"","","R","","USA"
"A073","Luis Ayala","Luis Ayala",19320918,,,,"Santiago","","R","","CHI"
"A080","Orlando Agudelo","Orlando Agudelo",,,,,"","","R","","COL"
"A085","Rich Andrews","Rich Andrews",,,,,"","","L","","USA"
"A086","Birger Andersson","Birger Andersson",19510326,,,,"","","R","","SWE"
"A092","Andre Agassi","Andre Agassi",19700429,80,180,1986,"Las Vegas","Darren Cahill","R","2H","USA"
"A093","Gabriel Auroux","Gabriel Auroux",,,,,"","","R","","ARG"
"A09T","Dan Added","Dan Added","19990413","75","183","","Strasbourg, France","","R","2H","FRA"
"A09U","Nicolas Alvarez Varona","Nicolas Alvarez Varona",20010518,83,188,,"Burgos","Cristiano de Oliveira Pinto","R","2H","ESP"
"A0AB","Adrian Andreev","Adrian Andreev",20010512,73,175,2016,"Sofia,Bulgaria","","R","2H","BUL"
"A0AO","Alen Avidzba","Alen Avidzba",20000224,76,188,,"Sochi, Russia","Jean-Rene Lisnard, Gilles Cervara","R","2H","RUS"
"A0AT","Sebastian Arcila","Sebastian Arcila",19980626,,,,"","","","","PUR"
"A0C5","Dimitris Azoidis","Dimitris Azoidis",20001009,91,,,"Limassol","","L","2H","GRE"
